community_id,id,author_mod,replies,favorites,retweets,total,source
60,314111915175600128,0,1,1,3,5,Twitter Web Client
60,312670478210854912,0,2,1,1,4,Twitter Web Client
60,311895503577165826,0,4,0,3,7,Twitter for Websites
60,310295382418681856,0,0,0,0,0,Twitter for Websites
60,309297277464371200,0,0,0,0,0,Twitter for Websites
60,307880110416068611,0,0,0,3,3,Twitter Web Client
60,307427305146417152,0,0,0,0,0,Twitter Web Client
60,306354900881784832,1,0,1,3,4,Mobile Web (M5)
60,306020015684067330,0,0,0,1,1,Twitter for Websites
60,304977882126614529,0,0,0,2,2,Twitter for Websites
38,167347707864813569,0,0,0,0,0,Twitter for Websites
28,250878996080914432,0,0,0,0,0,Twitter for Websites
28,245630757815590912,0,0,0,0,0,Twitter for Websites
28,211829243494141954,0,0,0,0,0,Twitter for Websites
28,197684945530011648,1,0,0,0,0,Twitter for Websites
28,193840744665071616,0,0,0,0,0,Twitter for Websites
57,315078736997412865,0,0,0,0,0,Twitter Web Client
57,303848059484372992,0,0,0,0,0,Twitter for Websites
57,299271155230076928,0,0,0,0,0,Twitter for Websites
57,299214723436658689,0,0,0,0,0,Twitter Web Client
57,297075539791982592,1,0,0,0,0,Facebook
57,274983317353406464,0,0,0,0,0,Twitter for Websites
57,258632285715324929,0,0,0,1,1,Echofon
26,271804696564486145,0,1,0,0,1,Twitter Web Client
26,202928668320870400,1,0,0,1,1,Radian6 
26,160028756197638145,0,0,0,2,2,Twitter Web Client
26,160026369382817793,1,0,2,12,14,Radian6 
26,139874236557836290,0,0,0,0,0,Twitter for Websites
26,139872849337909248,1,0,0,0,0,Hootsuite
26,139718480948772864,1,0,0,0,0,Hootsuite
26,139717171197640705,0,0,0,0,0,Twitter Web Client
26,139716894025449472,0,0,0,0,0,Twitter Web Client
26,136558708091133952,0,0,0,1,1,Twitter for Websites
26,136190125045579776,1,0,0,2,2,Twitter for Websites
361,319176916680712194,1,0,0,0,0,Twitter Web Client
361,177043815193001984,0,0,0,0,0,Twitter for iPad
361,177041820600115202,1,0,0,4,4,Hootsuite
361,176789652349517824,0,0,0,1,1,Twitter for iPhone
361,176786744413392896,0,0,0,0,0,Twitter for iPhone
361,176779125166575616,1,0,1,25,26,Hootsuite
361,166997325884043264,0,0,0,0,0,Hootsuite
361,165118192337948673,0,0,0,0,0,Buffer
361,164422738029707264,0,0,0,0,0,Hootsuite
361,164404679688724480,0,0,0,0,0,Twitter Web Client
361,164386971903463425,0,0,0,0,0,Hootsuite
361,164380248773885952,0,0,0,0,0,LinkedIn
361,164376986905624577,1,0,3,25,28,Hootsuite
361,155033497034166273,0,0,0,2,2,Twitter Web Client
361,153583868589522944,0,1,1,0,2,Twitter for Android
361,149597139146776577,0,0,0,0,0,SocialOomph
361,146609356954271744,0,0,1,0,1,Twitter Web Client
361,144766690008371200,0,0,1,1,2,Twitter Web Client
361,144449913353285633,0,0,0,0,0,UberSocial for BlackBerry
361,144438533522849792,0,0,0,0,0,Hootsuite
361,144151037748588545,0,0,0,0,0,Seesmic
361,144148740737998849,0,0,0,0,0,Dabr
361,144148341696110592,1,0,3,8,11,Hootsuite
361,142596340659134464,0,0,0,0,0,SocialEngage
361,141960433618784256,0,0,0,0,0,TweetDeck
361,141614551052451840,0,0,0,0,0,LinkedIn
361,141609299918065664,0,0,0,0,0,UberSocial for BlackBerry
361,141608157779726337,1,0,6,17,23,Hootsuite
361,137917887963860992,0,0,0,1,1,SocialEngage
361,137274694234673152,0,0,0,0,0,Twitter Web Client
361,137193285709074432,1,0,1,0,1,Hootsuite
361,136926542839296000,1,0,2,28,30,Hootsuite
361,136852177837756417,1,0,1,18,19,Hootsuite
361,136535695744450561,0,0,0,1,1,Mobile Web
361,136526646328045569,0,0,0,0,0,Seesmic
361,136519066402820098,0,0,0,0,0,TweetDeck
361,136518983095549952,1,0,3,27,30,Hootsuite
361,136134999991795712,0,0,0,0,0,Hootsuite
361,136133734230532096,0,0,0,0,0,Hootsuite
361,136131128724684800,1,0,0,0,0,Hootsuite
361,136123867428163584,0,0,0,0,0,Hootsuite
361,119890125143539713,0,0,0,0,0,TwitBird
361,119819017904070658,0,0,0,0,0,Twitter Web Client
361,119782317605650432,0,0,0,0,0,Twitter for iPad
361,119777190782050304,1,0,0,14,14,Twitter Web Client
361,119776122736087040,1,0,0,4,4,Hootsuite
361,117079929774022656,0,0,0,0,0,UberSocial for BlackBerry
361,116974627326132224,0,0,0,0,0,Seesmic
361,116960388297400320,0,0,0,1,1,Hootsuite
361,116940472626315264,0,0,0,0,0,Hootsuite
361,116939861134557185,0,0,0,0,0,LinkedIn
361,116938411243343873,0,0,0,0,0,TweetDeck
361,116935283496325120,1,0,2,8,10,Hootsuite
361,116935198767185920,1,0,0,4,4,Hootsuite
361,112270137448599552,1,0,0,0,0,Hootsuite
361,112229774268694529,1,0,0,4,4,Hootsuite
361,112229713723932672,1,0,1,14,15,Hootsuite
361,109617244576825345,0,0,1,1,2,Twitter Web Client
361,107615896863916032,1,0,5,17,22,Hootsuite
347,380427194025009152,1,0,0,0,0,Twitter Web Client
347,380419361824968705,1,0,1,0,1,Twitter for Websites
347,380418522712514560,1,0,0,0,0,Twitter for Websites
347,380418242293944322,1,0,0,0,0,Twitter for Websites
347,380408192863203328,1,0,0,0,0,Twitter for Websites
347,372018991264305153,1,1,1,2,4,Twitter for Websites
347,372017819522592768,1,0,0,0,0,Twitter for Websites
347,372017297503698944,1,0,0,0,0,Twitter for Websites
347,378168150275026945,0,0,0,0,0,Twitter for Websites
347,372055093962493952,0,0,0,0,0,Twitter for Websites
347,372054741305421824,0,0,0,0,0,Twitter for Websites
347,372028400052867072,0,1,1,0,2,Twitter Web Client
465,322291320913805312,1,0,0,0,0,Twitter for Websites
465,322291680894136320,1,0,0,0,0,Twitter for Websites
465,332908229753454592,0,0,0,0,0,Twitter for Websites
465,322334119000416256,1,0,0,0,0,Twitter for Android
465,322316042510675968,0,0,0,0,0,Twitter for Websites
465,325213015538540545,0,0,0,0,0,Twitter for Websites
465,401328944475279360,0,1,0,0,1,Facebook
465,331796141169573888,0,0,0,0,0,Twitter for Websites
287,298426655024762880,0,0,0,0,0,Twitter for Websites
476,410087665791270913,1,0,0,0,0,Twitter for Websites
233,353928968694542336,0,0,0,1,1,Twitter for Websites
233,352741505934426112,0,0,0,0,0,Twitter for Websites
426,425207746196037632,0,0,0,0,0,Twitter for Websites
426,423184019379847168,0,0,0,0,0,Twitter for Websites
426,515635530839494657,0,0,0,0,0,Twitter for Websites
426,501285787799789568,0,0,0,0,0,Twitter for Websites
367,298731766313807872,0,0,0,0,0,Twitter for Websites
367,296969590502748162,0,0,0,0,0,Facebook
367,296620244515057664,0,0,0,0,0,Twitter for Websites
367,295872003381030912,0,0,0,0,0,Twitter for Websites
367,295841383695134720,0,0,0,0,0,Facebook
367,295568471557808128,0,0,0,0,0,Hootsuite
367,295518166858227712,0,0,0,0,0,Twitter for Websites
367,299156172479557632,0,1,0,0,1,Twitter Web Client
367,294042127397167104,0,0,0,2,2,Twitter Web Client
367,294089559250178048,0,0,0,0,0,Twitter for Websites
367,294041796294627328,0,0,0,2,2,Twitter Web Client
367,298706788369436672,0,0,0,1,1,Twitter for iPhone
367,298483789242462208,0,0,0,0,0,Twitter for Websites
367,296845526735933440,0,0,0,1,1,Twitter for Websites
367,296689433762222080,0,0,0,2,2,Twitter for Websites
367,296684595141824512,0,0,1,0,1,Twitter for Websites
367,296379810219974656,0,1,0,0,1,Twitter for Websites
367,296244006176845825,0,0,2,4,6,Twitter Web Client
367,296186314003456000,0,0,0,0,0,Twitter for Websites
367,296181704182337537,0,0,0,0,0,Twitter for Websites
367,296181615397326848,0,0,0,0,0,Twitter for Websites
367,296180814834720768,0,0,0,1,1,Twitter for Websites
367,296180087991193600,0,0,0,1,1,Twitter for Websites
367,296179290863726593,0,4,0,2,6,Facebook
367,295989124341575680,0,0,1,2,3,Twitter for Android
367,295572379227262976,0,0,0,1,1,Twitter Web Client
367,294831561268928514,0,0,0,1,1,TweetDeck
367,296563362052046849,0,0,0,0,0,Twitter for Websites
367,296293499236646913,0,0,0,0,0,Twitter for Websites
367,295807609380929536,0,0,0,0,0,Twitter for Websites
367,294447195976003584,0,0,0,0,0,Twitter for Websites
367,293771171218984960,0,0,0,0,0,Twitter for Websites
367,294127158002077696,0,0,0,0,0,Twitter for Websites
367,294756283272265728,0,0,0,0,0,Twitter for Websites
367,294383900380258304,0,0,0,0,0,Twitter for Websites
367,296277573242089473,0,0,0,0,0,Twitter Web Client
147,325923365909037057,1,0,0,0,0,Twitter for Websites
147,325921606578888704,1,0,0,0,0,Twitter for Websites
122,301708837323427840,0,0,0,0,0,Twitter for Websites
122,306788281746599937,1,0,0,0,0,TweetDeck
122,306873087574548480,0,0,0,0,0,Hootsuite
122,306873089550086145,0,0,0,1,1,Hootsuite
122,306787028786348032,1,0,0,0,0,TweetDeck
122,294934206298083330,0,0,0,0,0,Twitter for Websites
122,306827289788837888,1,0,0,1,1,TweetDeck
122,306833579932012544,1,0,0,0,0,TweetDeck
122,308394169024540673,0,0,2,0,2,Twitter for Websites
122,308385705183289344,0,1,0,0,1,Twitter Web Client
122,307616741478002689,1,1,2,2,5,TweetDeck
122,306871329544626176,1,0,1,0,1,TweetDeck
122,307494432901574656,1,0,0,0,0,TweetDeck
122,306878877643448320,1,0,1,0,1,TweetDeck
122,296748047709376512,0,0,1,0,1,Twitter Web Client
122,307555336997453824,1,0,0,0,0,TweetDeck
122,309118286157713408,0,0,1,0,1,Twitter for Websites
122,307509782867218432,1,0,0,0,0,TweetDeck
122,295720524313686016,0,0,0,0,0,Twitter Web Client
122,306458887232552962,0,0,0,0,0,Hootsuite
122,306457295880089600,0,3,0,0,3,Twitter for Websites
122,312000376494780417,0,0,0,0,0,Twitter for Websites
138,292267104848183296,0,0,0,0,0,Facebook
138,291913186981060608,0,0,0,1,1,Twitter Web Client
114,346996387277316097,0,0,0,0,0,Twitter Web Client
101,292350300759674880,0,0,1,0,1,Twitter for Websites
101,285166170292752385,0,0,0,0,0,Twitter for Websites
101,285165366047559681,0,0,0,0,0,Twitter for Websites
404,439931416244400129,0,0,1,1,2,Twitter Web Client
404,439930488330125313,0,0,0,0,0,Tweetbot for iOS
404,439929631496339456,0,0,0,0,0,Twitter for Websites
404,440574641837334528,0,0,1,0,1,Twitter for iPhone
404,439284456373772288,0,0,0,1,1,Twitter for iPhone
404,439269055996784640,0,0,0,0,0,Twitter for iPhone
404,442758819660062721,0,0,2,0,2,Twitter Web Client
404,439159163026161665,0,0,0,0,0,Twitter Web Client
404,439047128992583680,0,0,0,0,0,Facebook
404,438793084692742144,0,0,0,0,0,Twitter Web Client
404,434612086002307072,0,0,1,0,1,Twitter for Websites
