"observation","communityid","facebook","twitter","members","ideas","comments","votes","age"
"12","401","28","25","76","24","37","299","197"
"12","411","0","0","60","31","48","183","80"
"12","426","96","13","63","38","57","399","118"
"12","457","11","1","155","75","311","2111","629"
"12","465","112","32","139","26","38","283","304"
"12","476","7","3","96","45","136","133","285"
"13","82","36","5","174","107","183","1895","597"
"13","88","14","40","199","95","296","469","331"
"13","101","61","5","183","90","78","484","435"
"13","114","9","37","212","68","113","146","1161"
"13","132","0","1","12","80","54","53","388"
"13","138","69","8","101","75","18","270","845"
"13","140","14","15","96","78","11","371","242"
"13","147","119","13","90","53","202","670","190"
"13","155","113","0","59","51","56","198","473"
"13","178","0","0","21","46","68","254","93"
"13","203","0","0","55","39","57","250","653"
"13","209","40","0","50","47","49","317","250"
"13","221","46","4","65","36","54","301","722"
"13","233","42","47","124","34","29","293","116"
"13","246","41","3","27","31","135","174","115"
"13","277","49","0","54","28","13","316","249"
"13","287","33","21","34","28","37","179","500"
"13","325","20","0","15","25","101","160","626"
"13","327","0","0","22","23","16","130","102"
"13","345","8","2","19","21","5","97","116"
"13","347","31","34","95","21","19","218","99"
"13","394","61","36","85","128","48","744","90"
"13","401","28","25","76","24","37","299","202"
"13","411","0","0","60","31","48","183","85"
"13","426","96","13","63","38","57","399","123"
"13","457","11","1","155","75","311","2111","634"
"13","465","112","32","139","26","38","283","309"
"13","476","8","3","97","45","141","139","290"
