id,replies,favorites,retweets,total,source
139717171197640705,0,0,0,0,Twitter Web Client
139716894025449472,0,0,0,0,Twitter Web Client
136558708091133952,0,0,1,1,Twitter for Websites
136190125045579776,0,0,2,2,Twitter for Websites
319176916680712194,0,0,0,0,Twitter Web Client
177043815193001984,0,0,0,0,Twitter for iPad
177041820600115202,0,0,4,4,Hootsuite
176789652349517824,0,0,1,1,Twitter for iPhone
176786744413392896,0,0,0,0,Twitter for iPhone
176779125166575616,0,1,25,26,Hootsuite
166997325884043264,0,0,0,0,Hootsuite
165118192337948673,0,0,0,0,Buffer
164422738029707264,0,0,0,0,Hootsuite
164404679688724480,0,0,0,0,Twitter Web Client
164386971903463425,0,0,0,0,Hootsuite
164380248773885952,0,0,0,0,LinkedIn
164376986905624577,0,3,25,28,Hootsuite
155033497034166273,0,0,2,2,Twitter Web Client
153583868589522944,1,1,0,2,Twitter for Android
149597139146776577,0,0,0,0,SocialOomph
146609356954271744,0,1,0,1,Twitter Web Client
144766690008371200,0,1,1,2,Twitter Web Client
144449913353285633,0,0,0,0,UberSocial for BlackBerry
144438533522849792,0,0,0,0,Hootsuite
144151037748588545,0,0,0,0,Seesmic
144148740737998849,0,0,0,0,Dabr
144148341696110592,0,3,8,11,Hootsuite
142596340659134464,0,0,0,0,SocialEngage
141960433618784256,0,0,0,0,TweetDeck
141614551052451840,0,0,0,0,LinkedIn
141609299918065664,0,0,0,0,UberSocial for BlackBerry
141608157779726337,0,6,17,23,Hootsuite
137917887963860992,0,0,1,1,SocialEngage
137274694234673152,0,0,0,0,Twitter Web Client
137193285709074432,0,1,0,1,Hootsuite
136926542839296000,0,2,28,30,Hootsuite
136852177837756417,0,1,18,19,Hootsuite
136535695744450561,0,0,1,1,Mobile Web
136526646328045569,0,0,0,0,Seesmic
136519066402820098,0,0,0,0,TweetDeck
136518983095549952,0,3,27,30,Hootsuite
136134999991795712,0,0,0,0,Hootsuite
136133734230532096,0,0,0,0,Hootsuite
136131128724684800,0,0,0,0,Hootsuite
136123867428163584,0,0,0,0,Hootsuite
119890125143539713,0,0,0,0,TwitBird
119819017904070658,0,0,0,0,Twitter Web Client
119782317605650432,0,0,0,0,Twitter for iPad
119777190782050304,0,0,14,14,Twitter Web Client
119776122736087040,0,0,4,4,Hootsuite
117079929774022656,0,0,0,0,UberSocial for BlackBerry
116974627326132224,0,0,0,0,Seesmic
116960388297400320,0,0,1,1,Hootsuite
116940472626315264,0,0,0,0,Hootsuite
116939861134557185,0,0,0,0,LinkedIn
116938411243343873,0,0,0,0,TweetDeck
116935283496325120,0,2,8,10,Hootsuite
116935198767185920,0,0,4,4,Hootsuite
112270137448599552,0,0,0,0,Hootsuite
112229774268694529,0,0,4,4,Hootsuite
112229713723932672,0,1,14,15,Hootsuite
109617244576825345,0,1,1,2,Twitter Web Client
107615896863916032,0,5,17,22,Hootsuite
380427194025009152,0,0,0,0,Twitter Web Client
380419361824968705,0,1,0,1,Twitter for Websites
380418522712514560,0,0,0,0,Twitter for Websites
380418242293944322,0,0,0,0,Twitter for Websites
380408192863203328,0,0,0,0,Twitter for Websites
372018991264305153,1,1,2,4,Twitter for Websites
372017819522592768,0,0,0,0,Twitter for Websites
372017297503698944,0,0,0,0,Twitter for Websites
378168150275026945,0,0,0,0,Twitter for Websites
372055093962493952,0,0,0,0,Twitter for Websites
372054741305421824,0,0,0,0,Twitter for Websites
372028400052867072,1,1,0,2,Twitter Web Client
322291320913805312,0,0,0,0,Twitter for Websites
322291680894136320,0,0,0,0,Twitter for Websites
332908229753454592,0,0,0,0,Twitter for Websites
322334119000416256,0,0,0,0,Twitter for Android
322316042510675968,0,0,0,0,Twitter for Websites
325213015538540545,0,0,0,0,Twitter for Websites
401328944475279360,1,0,0,1,Facebook
331796141169573888,0,0,0,0,Twitter for Websites
298426655024762880,0,0,0,0,Twitter for Websites
410087665791270913,0,0,0,0,Twitter for Websites
353928968694542336,0,0,1,1,Twitter for Websites
